id,value,userid,tag
fitump,1,35526,No
distributionconstraints,1,35526,No
normal,1,35526,No
models,1,35526,No
arima,1,35526,yes
possible,1,35526,No
bug,1,35526,No
coefficients,1,35526,No
none,1,35526,No
interval,1,35526,yes
value,1,35526,No
model,1,35526,yes
itsmlog,1,35526,No
gamma,1,35526,No
software,1,35526,yes
test,2,124053,No
validhow,1,124053,No
highly,1,124053,No
sample,1,124053,yes
chisq,1,124053,No
differs,1,124053,No
size,1,124053,No
distributed,1,124053,No
ngt,1,124053,No
theorem,1,124053,No
heteroskedastic,1,124053,No
means,1,124053,No
big,1,124053,No
differences,1,124053,yes
understand,1,124053,No
population,1,124053,yes
central,1,124053,No
skewed,1,124053,No
variancei,1,124053,No
limit,1,124053,No
output,1,124053,No
normally,1,124053,No
predict,1,123389,No
forecasting,1,123389,yes
vs,1,123389,No
arima,1,123389,yes
forecast,1,123389,No
series,4,16362,No
time,4,16362,No
linear,3,16362,yes
model,3,16362,yes
kernel,2,16362,No
forecasting,2,16362,yes
rate,2,16362,No
growth,2,16362,No
determine,2,16362,No
calculate,2,16362,No
density,2,16362,No
models,2,16362,No
workhow,2,16362,No
system,1,16362,No
ci,1,16362,No
distributionhow,1,16362,No
nearest,1,16362,No
calculation,1,16362,No
regressionsunable,1,16362,No
dynamic,1,16362,No
nls,1,16362,yes
used,1,16362,No
modelhow,1,16362,No
regressionwhat,1,16362,No
server,1,16362,No
best,1,16362,No
axis,1,16362,No
hourly,1,16362,No
given,1,16362,No
based,1,16362,No
series,2,27769,No
time,2,27769,No
change,2,27769,No
weeks,1,27769,No
predictorswhy,1,27769,No
lagged,1,27769,No
year,1,27769,No
back,1,27769,No
volume,1,27769,No
call,1,27769,No
values,1,27769,No
converting,1,27769,No
model,1,27769,yes
data,1,27769,No
regression,1,27769,yes
plot,1,38420,No
unknown,1,38420,No
posterior,1,38420,yes
discrete,1,38420,No
functiongenerating,1,38420,No
distribution,1,38420,No
likelihood,1,38420,yes
contour,1,38420,No
small,3,56064,No
linear,2,56064,yes
regression,2,56064,yes
predictor,1,56064,yes
values,1,56064,No
dataset,1,56064,yes
intercept,1,56064,yes
trouble,1,56064,No
interpreting,1,56064,No
predictorperforming,1,56064,No
modeling,1,56064,yes
model,1,56064,yes
log,1,56064,No
customer,1,49827,No
satisfaction,1,49827,No
surveys,1,49827,No
analysis,1,49827,yes
regression,7,46741,yes
net,3,46741,No
many,3,46741,No
different,3,46741,No
models,3,46741,No
means,2,46741,No
logistic,2,46741,yes
cost,2,46741,No
coefficient,2,46741,yes
improve,2,46741,No
vs,2,46741,No
selection,1,46741,No
chain,1,46741,No
actions,1,46741,No
stability,1,46741,No
intervals,1,46741,No
networkr,1,46741,No
visualization,1,46741,No
group,1,46741,No
modelsis,1,46741,No
choose,1,46741,No
trendsmodel,1,46741,No
discriminates,1,46741,No
non,1,46741,No
someone,1,46741,No
possible,1,46741,No
introduce,1,46741,No
modeltreatment,1,46741,No
performance,1,46741,yes
classesorthogonalizing,1,46741,No
overfitting,1,83787,yes
randomforest,1,83787,No
bootstrap,1,83787,yes
result,1,83787,No
prediction,1,83787,yes
regression,2,101431,yes
plotting,2,101431,No
naive,2,101431,No
bayes,2,101431,yes
logistic,2,101431,yes
classifier,2,101431,No
roc,1,101431,yes
im,1,101431,No
tan,1,101431,No
codes,1,101431,No
proceed,1,101431,No
rr,1,101431,No
summarizing,1,101431,No
correctly,1,101431,No
significance,1,101431,No
sure,1,101431,No
modelr,1,101431,No
building,1,101431,No
curve,1,101431,No
rocr,1,101431,yes
ensemble,1,101431,yes
determined,1,101431,No
model,2,115755,yes
log,1,115755,No
get,1,115755,No
estimate,1,115755,No
interval,1,115755,yes
rhow,1,115755,No
derivative,1,115755,yes
regression,1,115755,yes
generation,2,69,No
given,1,69,No
algorithmsr,1,69,No
financial,1,69,No
analysistesting,1,69,No
useful,1,69,No
seasonality,1,69,yes
serieswhere,1,69,No
random,1,69,No
number,1,69,No
implementations,1,69,No
variate,1,69,No
algorithmstools,1,69,No
various,1,69,No
time,1,69,No
cdfpseudorandom,1,69,No
finding,1,69,No
pdf,1,69,yes
modeling,1,69,yes
packages,1,69,No
tutorials,1,69,No
data,3,10766,No
survdiff,1,10766,No
framemultivariate,1,10766,No
outlier,1,10766,No
coxph,1,10766,No
distributio lme,1,10766,No
variability,1,10766,yes
logrank,1,10766,yes
curve,1,10766,No
logranklooking,1,10766,No
analysis,1,10766,yes
pvalue,1,10766,No
multimodal,1,10766,No
categorical,1,10766,No
comparison,1,10766,No
anova,1,10766,yes
significant,1,10766,No
amp,1,10766,No
difference,1,10766,No
regression,1,10766,yes
columns,1,10766,No
inputs,1,17713,No
series,1,17713,No
exogenous,1,17713,No
forecast,1,17713,No
historic,1,17713,No
time,1,17713,No
present,1,17713,No
analysis,3,82313,yes
group,1,82313,No
level,1,82313,No
separate,1,82313,No
individual,1,82313,No
multilevel,1,82313,No
caret,1,100621,yes
biased,1,100621,No
predictors,1,100621,No
probability,1,100621,yes
regressionoptimizing,1,100621,No
thresholds,1,100621,No
vs,1,100621,No
upsampling,1,100621,No
datadownsampling,1,100621,No
chisquared,1,100621,No
logistic,1,100621,yes
significance,1,100621,No
test,1,100621,No
model,1,100621,yes
independence,1,100621,yes
glm,1,100621,No
weibull,1,111318,yes
survival,1,111318,yes
time,1,111318,No
covariates,1,111318,No
varying,1,111318,No
model,1,111318,yes
ecological,1,120687,No
measures,1,120687,No
random,1,120687,No
repeated,1,120687,No
fitting,1,120687,yes
set,1,120687,No
interpreting,1,120687,No
unbalanced,1,120687,No
data,1,120687,No
effects,1,120687,yes
dlmsmooth,2,3086,No
rs,2,3086,No
dlm,2,3086,yes
reductionkalman,1,3086,No
adftest,1,3086,No
packagewhat,1,3086,No
negative,1,3086,No
bayesian,1,3086,yes
vs,1,3086,No
done,1,3086,No
testwhats,1,3086,No
fitting,1,3086,yes
smoothing,1,3086,yes
returns,1,3086,No
optimal,1,3086,yes
circle,1,3086,No
method,1,3086,No
lag,1,3086,No
implementing,1,3086,No
wrong,1,3086,No
prices,1,3086,No
difference,1,3086,No
interpret,1,3086,No
noisy,1,3086,No
datawhat,1,3086,No
package,1,3086,yes
dlmfilter,1,3086,No
chow,1,3086,No
model,1,3086,yes
machine,3,6329,No
learning,2,6329,yes
recommender,2,6329,No
system,2,6329,No
book,2,6329,No
recommend,2,6329,No
read,2,6329,No
filtering,1,6329,No
nonclassification,1,6329,No
problem,1,6329,No
birdsis,1,6329,No
deciles,1,6329,No
generalize,1,6329,No
regressionwhat,1,6329,No
statistical,1,6329,yes
regression,1,6329,yes
best,1,6329,No
linear,1,6329,yes
learningis,1,6329,No
integrates,1,6329,No
approachrecommendation,1,6329,No
content,1,6329,No
overfittingcan,1,6329,No
angry,1,6329,No
boxplot,1,6329,yes
fscore,1,6329,No
measuring,1,6329,No
play,1,6329,No
elements,1,6329,No
statistically,1,6329,No
model,2,24975,yes
slope,1,24975,No
random,1,24975,No
intercept,1,24975,yes
outcomesrandom,1,24975,No
continuous,1,24975,No
two,1,24975,No
joint,1,24975,No
without,1,24975,No
integrate,1,34716,No
ecdf,1,34716,yes
quickly,1,34716,No
function,1,37633,yes
package,1,37633,yes
vegan,1,37633,yes
nested,1,37633,yes
design,1,37633,No
adonis,1,37633,No
correction,1,80083,No
accept,1,80083,No
changin,1,80083,No
significant,1,80083,No
outcome,1,80083,No
pvalue,1,80083,No
change,1,80083,No
bonfero i,1,80083,No
sample,2,48453,yes
report,2,48453,No
kernel,1,48453,No
lsd,1,48453,No
sayt,1,48453,No
help,1,48453,No
migrate,1,48453,No
isnon,1,48453,No
ci,1,48453,No
hypothesisusing,1,48453,No
averagestrimming,1,48453,No
analyzing,1,48453,No
manipulating,1,48453,No
behavioural,1,48453,No
alternative,1,48453,No
null,1,48453,No
repeated,1,48453,No
winsorising,1,48453,No
reject,1,48453,No
density,1,48453,No
fishers,1,48453,No
anova,1,48453,yes
anovaparametric,1,48453,No
significance,1,48453,No
test,1,48453,No
transformation,1,48453,No
gives,1,48453,No
tests,1,48453,No
measures,1,48453,No
wallis,1,48453,No
unemployment,2,1443,No
time,2,1443,No
regression,2,1443,yes
predictive,1,1443,No
lognormal,1,1443,yes
observationsimulate,1,1443,No
ordered,1,1443,No
jagssampling,1,1443,No
collectors,1,1443,No
series,1,1443,No
variables,1,1443,No
testing,1,1443,No
paired,1,1443,No
vacancy,1,1443,No
wiener,1,1443,No
ratemultidimensional,1,1443,No
regressionwhat,1,1443,No
trialsfitted,1,1443,No
clusteringordered,1,1443,No
processvariance,1,1443,No
categorical,1,1443,No
arellanobondsurvival,1,1443,No
rate,1,1443,No
estimatorschange,1,1443,No
estimate,1,1443,No
jagsquantile,1,1443,No
distributionmodeling,1,1443,No
explanatory,1,1443,yes
changesjags,1,1443,No
linear,1,1443,yes
clustering,1,27577,yes
count,1,27577,No
datacount,1,27577,No
results,1,27577,No
forecastingpredictioncount,1,27577,No
model,1,27577,yes
data,1,27577,No
regression,1,27577,yes
pairs,1,92841,No
glm,1,92841,No
regressionpoisson,1,92841,No
fit,1,92841,No
logitistic,1,92841,No
rank,1,92841,No
warning,1,92841,No
score,1,92841,No
data,1,92841,No
matched,1,92841,No
hmm,1,112815,No
packages,1,112815,No
analysis,1,112815,yes
best,1,112815,No
sequence,1,112815,No
data,5,13614,No
multiple,3,13614,No
linear,3,13614,yes
regression,2,13614,yes
regressionsimulating,2,13614,No
parametersimulate,1,13614,No
sample,1,13614,yes
determine,1,13614,No
size,1,13614,No
different,1,13614,No
based,1,13614,No
extremely,1,13614,No
stagnant,1,13614,No
simulationsimulate,1,13614,No
real,1,13614,No
get,1,13614,No
datasimulate,1,13614,No
distributedhow,1,13614,No
whether,1,13614,No
slightly,1,13614,No
simulationmultiple,1,13614,No
value,1,13614,No
no ormal,1,13614,No
no ormally,1,13614,No
stationary,1,13614,No
datanumerically,1,14447,No
term,1,14447,No
fit,1,14447,No
amplitude,1,14447,No
phase,1,14447,No
sinusoidal,1,14447,No
companyid,1,48825,No
personid,1,48825,No
attribute,1,48825,No
random,1,48825,No
machine,1,48825,No
checklistrandomforest,1,48825,No
forest,1,48825,No
learning,1,48825,yes
differ,1,59645,No
glm,1,59645,No
deviance,1,59645,yes
models,1,59645,No
nb,1,59645,No
variable,1,59645,No
null,1,59645,No
response,1,59645,No
kappa,2,80206,yes
nanmultiple,1,80206,No
outputs,1,80206,No
irr,1,80206,No
factor,1,80206,No
cohens,1,80206,No
grouping,1,80206,No
regression,1,80206,yes
unbalanced,1,80206,No
statistics,2,92941,No
multiple,2,92941,No
rankings,2,92941,No
combine,2,92941,No
create,1,92941,No
final,1,92941,No
rankingwhat,1,92941,No
order,1,92941,yes
predict,1,45582,No
amp,1,45582,No
quasipoisson,1,45582,No
glm,1,45582,No
plot,1,45582,No
sample,1,113425,yes
calculator,1,113425,No
difference,1,113425,No
online,1,113425,yes
size,1,113425,No
regression,5,2817,yes
model,4,2817,yes
machine,4,2817,No
large,3,2817,No
sparse,3,2817,yes
caret,3,2817,yes
arima,3,2817,yes
package,3,2817,yes
vector,2,2817,No
coefficient,2,2817,yes
linear,2,2817,yes
forecast,2,2817,No
rank,2,2817,No
learning,2,2817,yes
function,2,2817,yes
similar,2,2817,No
ru ing,2,2817,No
models,2,2817,No
selection,1,2817,No
algorithmserror,1,2817,No
results,1,2817,No
sha on,1,2817,No
session,1,2817,No
entropy,1,2817,yes
especially,1,2817,No
networks,1,2817,yes
row,1,2817,No
perfect,1,2817,No
rdimensionality,1,2817,No
fit,1,2817,No
mining,2,4145,No
category,1,4145,No
categorization,1,4145,No
sentiment,1,4145,No
business,1,4145,No
perform,1,4145,No
text,1,4145,No
obtain,1,4145,No
library,1,4145,yes
identification,1,4145,yes
groups,2,3727,No
less,1,3727,No
correlations,1,3727,No
two,1,3727,No
comparing,1,3727,No
combined,1,3727,No
correlation,1,3727,yes
lmwhy,1,3727,No
lme,1,3727,yes
holdoneout,1,25539,No
linear,1,25539,yes
shortcut,1,25539,No
regression,1,25539,yes
answer,1,70073,No
predict,1,70073,No
function,1,70073,yes
expecting,1,70073,No
threshold,1,80352,yes
varying,1,80352,No
samples,1,80352,No
time,1,80352,No
packagecausalimpact,1,80106,No
series,1,80106,No
single,1,80106,No
assumptions,1,80106,yes
time,1,80106,No
causalimpact,1,80106,yes
via,1,20235,No
max,1,20235,No
spss,1,20235,yes
analyze,1,20235,No
diff,1,20235,No
get,1,42124,No
series,1,42124,No
confusion,1,42124,No
aucretrain,1,42124,No
possible,1,42124,No
models,1,42124,No
time,1,42124,No
matrices,1,42124,No
test,4,70511,No
low,2,70511,No
increasing,2,70511,No
accuracy,2,70511,yes
amp,2,70511,No
crossvalidation,2,70511,No
kernel,1,70511,No
selection,1,70511,No
classification,1,70511,yes
multivariate,1,70511,No
correction,1,70511,No
estimates,1,70511,No
confused,1,70511,No
getting,1,70511,No
system,1,70511,No
sample,1,70511,yes
variable,1,70511,No
taskvery,1,70511,No
right,1,70511,No
regularisation,1,70511,No
need,1,70511,No
compared,1,70511,No
regression,1,70511,yes
best,1,70511,No
based,1,70511,No
variablevery,1,70511,No
regularization,1,70511,yes
errors,1,70511,No
stats,1,70511,No
hoc,1,70511,No
symmetric,1,116542,No
matrix,1,116542,yes
package,1,116542,yes
subselect,1,116542,No
supplied,1,116542,No
covariancetotal,1,116542,No
distribution,2,24706,No
function,1,24706,yes
onea,1,24706,No
like,1,24706,No
linear,1,24706,yes
residuals,1,24706,yes
poisson,1,24706,yes
expected,1,24706,No
lmerwhat,1,24706,No
similar,1,24706,No
model,1,24706,yes
generalized,1,24706,No
comparison,1,63621,No
multiple,1,63621,No
multcomp,1,63621,No
package,1,63621,yes
binomial,1,63621,yes
tukeyhsd,1,63621,No
data,1,63621,No
compute,1,51965,No
fit,1,51965,No
probability,1,51965,yes
hyperbolic,1,51965,No
distributionhow,1,51965,No
aic,1,51965,yes
best,1,51965,No
model,1,51965,yes
distribution,1,51965,No
interpret,1,51965,No
anova,2,13050,yes
via,1,13050,No
sample,1,13050,yes
appropriate,1,13050,No
resultsridge,1,13050,No
message,1,13050,No
regression,1,13050,yes
interactionunderstanding,1,13050,No
hoc,1,13050,No
sizeshould,1,13050,No
selected,1,13050,No
feature,1,13050,No
degrees,1,13050,No
inspecting,1,13050,No
pca,1,13050,yes
pvalues,1,13050,No
ties,1,13050,No
post,1,13050,No
present,1,13050,No
kruskalwallis,1,13050,No
freedom,1,13050,No
according,1,13050,No
adjust,1,13050,No
limit,1,13050,No
investigating,1,13050,No
warning,1,13050,No
function,1,10202,yes
input,1,10202,No
selfdefined,1,10202,No
distance,1,10202,yes
mixed,5,55987,No
different,2,55987,No
anova,2,55987,yes
repeatedmeasures,2,55987,No
tests,2,55987,No
interactions,2,55987,No
effects,2,55987,yes
data,2,55987,No
analysis,2,55987,yes
necessaryposthoc,1,55987,No
anovas,1,55987,No
lmenesting,1,55987,No
within,1,55987,No
results,1,55987,No
posthoc,1,55987,No
ii,1,55987,No
levelsnested,1,55987,No
allowednested,1,55987,No
datasetmain,1,55987,No
calculate,1,55987,No
iii,1,55987,No
means,1,55987,No
degrees,1,55987,No
factor,1,55987,No
test,1,55987,No
rm,1,55987,No
type,1,55987,No
normed,1,55987,No
bayesfactorjasp,1,55987,No
measures,1,55987,No
null,1,81872,No
return,1,81872,No
keep,1,81872,No
adf,1,81872,No
statisticcalculating,1,81872,No
hypothesis,1,81872,No
reject,1,81872,No
test,1,81872,No
amp,1,81872,No
vix,1,81872,No
difference,1,81872,No
a ualized,1,81872,No
pvalue,1,81872,No
large,1,35921,No
predictors,1,35921,No
numbers,1,35921,No
deal,1,35921,No
categorical,1,35921,No
network,2,315,No
optimal,2,315,yes
data,2,315,No
neural,2,315,No
large,2,315,No
software,2,315,yes
learning,1,315,yes
classification,1,315,yes
outstanding,1,315,No
dealing,1,315,No
variables,1,315,No
global,1,315,No
modelregression,1,315,No
gaussian,1,315,No
dataset,1,315,yes
negativehow,1,315,No
statistical,1,315,yes
models,1,315,No
open,1,315,No
visualizationstatistics,1,315,No
select,1,315,No
parameters,1,315,No
tools,1,315,No
anyone,1,315,No
source,1,315,No
various,1,315,No
advanced,1,315,No
visualizing,1,315,No
local,1,315,No
valueshow,1,315,No
model,7,17590,yes
time,6,17590,No
arima,5,17590,yes
test,5,17590,No
conditional,4,17590,No
gaussian,4,17590,No
modelhow,3,17590,No
series,3,17590,No
check,3,17590,No
copula,3,17590,yes
cdf,2,17590,yes
inverse,2,17590,No
fit,2,17590,No
difference,2,17590,No
markov,2,17590,No
rhow,2,17590,No
estimate,2,17590,No
parameters,2,17590,No
dependence,2,17590,yes
data,2,17590,No
empirical,2,17590,yes
ar,2,17590,No
residuals,2,17590,yes
order,2,17590,yes
chain,1,17590,No
armax,1,17590,yes
nonparametric,1,17590,yes
copulahow,1,17590,No
alternative,1,17590,No
serieshow,1,17590,No
series,1,39525,No
correlation,1,39525,yes
rd,1,39525,No
controlling,1,39525,No
determine,1,39525,No
time,1,39525,No
learn,1,66907,No
ridge,1,66907,No
classification,1,66907,yes
probability,1,66907,yes
scikit,1,66907,No
correct,1,66907,No
machine,1,66907,No
datasetlinear,1,66907,No
predictioncoefficients,1,66907,No
anomaly,1,66907,No
learningkfold,1,66907,No
fragmented,1,127757,No
presenceabsence,1,127757,No
spatial,1,127757,yes
gamm,1,127757,No
data,1,127757,No
response,1,127757,No
strength,1,132171,No
categorical,1,132171,No
variables,1,132171,No
two,1,132171,No
association,1,132171,No
categories,1,132171,No
forecasting,1,61852,yes
lead,1,61852,No
point,1,61852,No
demandtimeseries,1,61852,No
time,1,61852,No
stochastic,1,61852,No
reorder,1,61852,No
tests,1,76502,No
hoc,1,76502,No
measures,1,76502,No
repeated,1,76502,No
plus,1,76502,No
effects,1,76502,yes
time,1,76502,No
mixed,1,76502,No
post,1,76502,No
variance,4,109798,yes
ols,3,109798,No
fitted,3,109798,No
regression,2,109798,yes
asymptotic,2,109798,No
matrix,2,109798,yes
values,2,109798,No
distribution,2,109798,No
less,1,109798,No
distributionendogenous,1,109798,No
estimators,1,109798,yes
lie,1,109798,No
confidence,1,109798,yes
ridge,1,109798,No
endogeneityasymptotic,1,109798,No
consistencyprove,1,109798,No
linewhy,1,109798,No
statisticconfusion,1,109798,No
operatorwhy,1,109798,No
algebra,1,109798,No
glsderiving,1,109798,No
deriving,1,109798,No
slsinconsistent,1,109798,No
estimatortaking,1,109798,No
variable,1,109798,No
problem,1,109798,No
bigger,1,109798,No
case,1,109798,No
partitioned,1,109798,No
interval,1,109798,yes
pgram,1,10302,No
clarification,1,10302,No
models,1,10302,No
varx,1,10302,No
adl,1,10302,No
rdifference,1,10302,No
spec,1,10302,No
cox,1,19751,No
proportions,1,19751,No
hazards,1,19751,No
proportional,1,19751,No
model,1,19751,yes
covariate,1,19751,yes
study,2,72572,No
time,2,72572,No
control,1,72572,yes
whats,1,72572,No
produces,1,72572,No
series,1,72572,No
gaussian,1,72572,No
betabinomial,1,72572,No
different,1,72572,No
na,1,72572,No
two,1,72572,No
nlsfitting,1,72572,No
function,1,72572,yes
rcontrolcase,1,72572,No
multiple,1,72572,No
groupsrbinom,1,72572,No
optim,1,72572,No
data,1,72572,No
wrongsimulation,1,72572,No
coefficients,1,72572,No
regressioncorrelation,1,72572,No
seriesfit,1,72572,No
rfollow,1,72572,No
values,1,72572,No
distribution,1,72572,No
categorical,1,86681,No
probabilities,1,86681,No
probit,1,86681,yes
predicted,1,86681,No
variable,1,86681,No
model,1,86681,yes
spatiotemporal,1,30571,No
du ,1,30571,No
populationsinterpreting,1,30571,No
larger,1,30571,No
due,1,30571,No
results,1,30571,No
bias,1,30571,yes
test,1,30571,No
variogramsinterpreting,1,30571,No
correcting,1,30571,No
even,1,9369,No
though,1,9369,No
giving,1,9369,No
variables,1,9369,No
ezanova,1,9369,No
belive,1,9369,No
sphericity,1,9369,yes
withinss,1,9369,No
levels,1,9369,No
mauchlys,1,9369,No
test,1,9369,No
definition,1,9618,yes
assignmentrandom,1,9618,No
interactions,1,9618,No
fixedeffects,1,9618,No
assignment,1,9618,No
random,1,9618,No
models,1,9618,No
botherusing,1,9618,No
time,1,9618,No
plm,1,9618,yes
include,1,9618,No
estimate,1,9618,No
formal,1,9618,No
function,1,53485,yes
models,1,53485,No
accuracy,1,53485,yes
arima,1,53485,yes
forecast,1,53485,No
mcmc,2,55649,yes
bayesian,2,55649,yes
vs,2,55649,No
lagged,1,55649,No
differences,1,55649,yes
effects,1,55649,yes
dv,1,55649,No
fixed,1,55649,No
regressionmetropolishastings,1,55649,No
regression,1,55649,yes
rpriors,1,55649,No
first,1,55649,No
one,2,7895,No
multiple,1,7895,No
withinsubject,1,7895,No
effect,1,7895,No
anova,1,7895,yes
including,1,7895,No
comparisons,1,7895,No
factor,2,20338,No
multiple,2,20338,No
correlationcovariance,1,20338,No
simple,1,20338,No
sensitivity,1,20338,yes
rlongitudinal,1,20338,No
zero,1,20338,No
way,1,20338,No
specificity,1,20338,yes
distributions,1,20338,yes
regression,1,20338,yes
different,1,20338,No
statistics,1,20338,No
latent,1,20338,No
matrix,1,20338,yes
regressionwhat,1,20338,No
predictions,1,20338,No
deletion,1,20338,No
slopes,1,20338,No
metric,1,20338,yes
accuracy,1,20338,yes
theory,1,20338,yes
models,1,20338,No
continuous,1,20338,No
analogues,1,20338,No
scores,1,20338,yes
rrescale,1,20338,No
rfit,1,20338,No
response,1,20338,No
rtest,1,20338,No
random,2,8141,No
difference,2,8141,No
inference,1,8141,yes
lmtestshifted,1,8141,No
nested,1,8141,yes
packageperturbation,1,8141,No
spineplotwhen,1,8141,No
absolute,1,8141,No
confidence,1,8141,yes
statistics,1,8141,No
variablemetaanalysis,1,8141,No
parameters,1,8141,No
bgtest,1,8141,No
groupsreplicating,1,8141,No
regressionvisualization,1,8141,No
across,1,8141,No
means,1,8141,No
bands,1,8141,yes
sufficient,1,8141,No
intercepts,1,8141,No
chart,1,8141,No
seriesmean,1,8141,No
variablesratio,1,8141,No
ratios,1,8141,No
bar,1,8141,No
pvaluesnestvarying,1,8141,No
censored,1,8141,No
logit,1,8141,yes
stacked,1,8141,No
bi ed,1,8141,No
test,1,29535,No
variables,1,29535,No
numerical,1,29535,No
relationship,1,29535,No
categorical,1,29535,No
means,1,63667,No
lm,1,63667,yes
equal,1,63667,No
predicted,1,63667,No
logtransformed,1,63667,No
untransformed,1,63667,No
data,1,63667,No
dataset,1,62044,yes
vs,1,62044,No
effecthow,1,62044,No
onetailed,1,62044,No
addition,1,62044,No
due,1,62044,No
least,1,62044,No
test,1,62044,No
offsetis,1,62044,No
deviation,1,62044,No
tests,1,62044,No
terms,1,62044,No
interactions,1,62044,No
standard,1,62044,yes
binomial,1,62044,yes
significant,1,62044,No
justify,1,62044,No
ratio,1,62044,yes
gamm,1,62044,No
informativelikelihood,1,62044,No
account,1,62044,No
interaction,1,62044,yes
ml,1,62044,No
remove,1,62044,No
patterns,1,62044,No
reml,1,62044,yes
residuals,1,62044,yes
simplificationis,1,62044,No
model,1,62044,yes
higher,1,62044,No
assumptions,1,39568,yes
spsspractical,1,39568,No
vector,1,39568,No
errors,1,39568,No
question,1,39568,No
mml,1,39568,No
sums,1,39568,No
support,1,39568,No
error,1,39568,yes
estimates,1,39568,No
rasch,1,39568,yes
typeiii,1,39568,No
comparing,1,39568,No
modlse,1,39568,No
vs,1,39568,No
winsteps,1,39568,No
versus,1,39568,No
model,1,39568,yes
squares,1,39568,No
winstepsmixed,1,39568,No
machinesstandard,1,39568,No
slope,1,97209,No
interval,1,97209,yes
linear,1,97209,yes
becomes,1,97209,No
lm,1,97209,yes
prediction,1,97209,yes
simulation,1,97209,yes
vs,1,97209,No
yrs,1,97209,No
corx,1,97209,No
regression,1,97209,yes
normalization,1,97209,yes
website,1,96127,No
adding,1,96127,No
interview,1,96127,No
questionsprobabilities,1,96127,No
betting,1,96127,No
modellingstatistical,1,96127,No
analysis,1,96127,yes
cluster,1,96127,No
learning,1,96127,yes
datadata,1,96127,No
odds,1,96127,yes
model,1,3996,yes
linear,1,3996,yes
repeatedmeasures,1,7577,No
functions,1,7577,No
anovaezanovalm,1,7577,No
rproblems,1,7577,No
ezanova,1,7577,No
anova,1,7577,yes
dataset,1,7577,yes
large,1,7577,No
values,1,7577,No
either,1,7577,No
huynhfeldt,1,7577,No
analysis,1,7577,yes
issues,1,7577,No
linear,5,36462,yes
modelhow,4,36462,No
regression,4,36462,yes
model,4,36462,yes
random,3,36462,No
based,3,36462,No
fit,3,36462,No
include,3,36462,No
series,3,36462,No
matrix,3,36462,yes
models,3,36462,No
interval,3,36462,yes
time,3,36462,No
calculate,2,36462,No
versus,2,36462,No
difference,2,36462,No
choosing,2,36462,No
measurements,2,36462,No
binomial,2,36462,yes
variogram,2,36462,yes
way,2,36462,No
type,2,36462,No
instrumental,2,36462,No
ols,2,36462,No
used,2,36462,No
variable,2,36462,No
estimator,2,36462,No
nonlinearprediction,1,36462,No
modelvariogram,1,36462,No
repeatcovariance,1,36462,No
ordinal,1,43624,yes
valueshow,1,43624,No
think,1,43624,No
run,1,43624,No
significant,1,43624,No
weight,1,43624,No
